0,-1.22465e-16,0,1
0.1,-1.22465e-16,0,1
0.2,-1.22465e-16,0,1
0.3,-1.22465e-16,0,1
0.4,-1.22465e-16,0,1
0.5,-1.22465e-16,0,1
0.6,-1.22465e-16,0,1
0.7,-1.22465e-16,0,1
0.8,-1.22465e-16,0,1
0.9,-1.22465e-16,0,1
1,-1.22465e-16,0,1
1.1,-1.22465e-16,0,1
1.2,-1.22465e-16,0,1
1.3,-1.22465e-16,0,1
1.4,-1.22465e-16,0,1
1.5,-1.22465e-16,0,1
1.6,-1.22465e-16,0,1
1.7,-1.22465e-16,0,1
1.8,-1.22465e-16,0,1
1.9,-1.22465e-16,0,1
2,-1.22465e-16,0,1
2.1,-1.22465e-16,0,1
2.2,-1.22465e-16,0,1
2.3,-1.22465e-16,0,1
2.4,-1.22465e-16,0,1
2.5,-1.22465e-16,0,1
2.6,-1.22465e-16,0,1
2.7,-1.22465e-16,0,1
2.8,-1.22465e-16,0,1
2.9,-1.22465e-16,0,1
3,-1.22465e-16,0,1
3.1,-1.22465e-16,0,1
3.2,-1.22465e-16,0,1
3.3,-1.22465e-16,0,1
3.4,-1.22465e-16,0,1
3.5,-1.22465e-16,0,1
3.6,-1.22465e-16,0,1
3.7,-1.22465e-16,0,1
3.8,-1.22465e-16,0,1
3.9,-1.22465e-16,0,1
4,-1.22465e-16,0,1
4.1,-1.22465e-16,0,1
4.2,-1.22465e-16,0,1
4.3,-1.22465e-16,0,1
4.4,-1.22465e-16,0,1
4.5,-1.22465e-16,0,1
4.6,-1.22465e-16,0,1
4.7,-1.22465e-16,0,1
4.8,-1.22465e-16,0,1
4.9,-1.22465e-16,0,1
5,-1.22465e-16,0,1
5.1,-1.22465e-16,0,1
5.2,-1.22465e-16,0,1
5.3,-1.22465e-16,0,1
5.4,-1.22465e-16,0,1
5.5,-1.22465e-16,0,1
5.6,-1.22465e-16,0,1
5.7,-1.22465e-16,0,1
5.8,-1.22465e-16,0,1
5.9,-1.22465e-16,0,1
6,-1.22465e-16,0,1
6.1,-1.22465e-16,0,1
6.2,-1.22465e-16,0,1
6.3,-1.22465e-16,0,1
6.4,-1.22465e-16,0,1
6.5,-1.22465e-16,0,1
6.6,-1.22465e-16,0,1
6.7,-1.22465e-16,0,1
6.8,-1.22465e-16,0,1
6.9,-1.22465e-16,0,1
7,-1.22465e-16,0,1
7.1,-1.22465e-16,0,1
7.2,-1.22465e-16,0,1
7.3,-1.22465e-16,0,1
7.4,-1.22465e-16,0,1
7.5,-1.22465e-16,0,1
7.6,-1.22465e-16,0,1
7.7,-1.22465e-16,0,1
7.8,-1.22465e-16,0,1
7.9,-1.22465e-16,0,1
8,-1.22465e-16,0,1
8.1,-1.22465e-16,0,1
8.2,-1.22465e-16,0,1
8.3,-1.22465e-16,0,1
8.4,-1.22465e-16,0,1
8.5,-1.22465e-16,0,1
8.6,-1.22465e-16,0,1
8.7,-1.22465e-16,0,1
8.8,-1.22465e-16,0,1
8.9,-1.22465e-16,0,1
9,-1.22465e-16,0,1
9.1,-1.22465e-16,0,1
9.2,-1.22465e-16,0,1
9.3,-1.22465e-16,0,1
9.4,-1.22465e-16,0,1
9.5,-1.22465e-16,0,1
9.6,-1.22465e-16,0,1
9.7,-1.22465e-16,0,1
9.8,-1.22465e-16,0,1
9.9,-1.22465e-16,0,1
10,-1.22465e-16,0,1
10.1,-1.22465e-16,0,1
10.2,-1.22465e-16,0,1
10.3,-1.22465e-16,0,1
10.4,-1.22465e-16,0,1
10.5,-1.22465e-16,0,1
10.6,-1.22465e-16,0,1
10.7,-1.22465e-16,0,1
10.8,-1.22465e-16,0,1
10.9,-1.22465e-16,0,1
11,-1.22465e-16,0,1
11.1,-1.22465e-16,0,1
11.2,-1.22465e-16,0,1
11.3,-1.22465e-16,0,1
11.4,-1.22465e-16,0,1
11.5,-1.22465e-16,0,1
11.6,-1.22465e-16,0,1
11.7,-1.22465e-16,0,1
11.8,-1.22465e-16,0,1
11.9,-1.22465e-16,0,1
12,-1.22465e-16,0,1
12.1,-1.22465e-16,0,1
12.2,-1.22465e-16,0,1
12.3,-1.22465e-16,0,1
12.4,-1.22465e-16,0,1
12.5,-1.22465e-16,0,1
12.6,-1.22465e-16,0,1
12.7,-6.12323e-17,-1,2.22045e-16
12.8,-6.12323e-17,-1,2.22045e-16
12.9,-6.12323e-17,-1,2.22045e-16
13,-6.12323e-17,-1,2.22045e-16
13.1,-6.12323e-17,-1,2.22045e-16
13.2,-6.12324e-17,-1,2.22045e-16
13.3,-6.12324e-17,-1,2.22045e-16
13.4,-6.12324e-17,-1,2.22045e-16
13.5,-6.12324e-17,-1,2.22045e-16
13.6,-6.12324e-17,-1,2.22045e-16
13.7,-6.12324e-17,-1,2.22045e-16
13.8,-6.12324e-17,-1,2.22045e-16
13.9,-6.12324e-17,-1,2.22045e-16
14,-6.12325e-17,-1,2.22045e-16
14.1,-6.12325e-17,-1,2.22045e-16
14.2,-6.12325e-17,-1,2.22045e-16
14.3,-6.12325e-17,-1,2.22045e-16
14.4,-6.12326e-17,-1,2.22045e-16
14.5,-6.12326e-17,-1,2.22045e-16
14.6,-6.12326e-17,-1,2.22045e-16
14.7,-6.12326e-17,-1,2.22045e-16
14.8,-6.12327e-17,-1,2.22045e-16
14.9,-6.12327e-17,-1,2.22045e-16
15,-6.12327e-17,-1,2.22045e-16
15.1,-6.12328e-17,-1,2.22045e-16
15.2,-6.12328e-17,-1,2.22045e-16
15.3,-6.12329e-17,-1,2.22045e-16
15.4,-6.12329e-17,-1,2.22045e-16
15.5,-6.1233e-17,-1,2.22045e-16
15.6,-6.1233e-17,-1,2.22045e-16
15.7,-6.1233e-17,-1,2.22045e-16
15.8,-6.12331e-17,-1,2.22045e-16
15.9,-6.12331e-17,-1,2.22045e-16
16,-6.12332e-17,-1,2.22045e-16
16.1,-6.12332e-17,-1,2.22045e-16
16.2,-6.12333e-17,-1,2.22045e-16
16.3,-6.12333e-17,-1,2.22045e-16
16.4,-6.12334e-17,-1,2.22045e-16
16.5,-6.12335e-17,-1,2.22045e-16
16.6,-6.12335e-17,-1,2.22045e-16
16.7,-6.12336e-17,-1,2.22045e-16
16.8,-6.12337e-17,-1,2.22045e-16
16.9,-6.12337e-17,-1,2.22045e-16
17,-6.12338e-17,-1,2.22045e-16
17.1,-6.12339e-17,-1,2.22045e-16
17.2,-6.12339e-17,-1,2.22045e-16
17.3,-6.1234e-17,-1,2.22045e-16
17.4,-6.12341e-17,-1,2.22045e-16
17.5,-6.12341e-17,-1,2.22045e-16
17.6,-6.12342e-17,-1,2.22045e-16
17.7,-6.12343e-17,-1,2.22045e-16
17.8,-6.12344e-17,-1,2.22045e-16
17.9,-0.5,-0.866025,-2.98023e-08
18,-0.5,-0.866025,-2.98023e-08
18.1,-0.5,-0.866025,-2.98023e-08
18.2,-0.5,-0.866025,-2.98023e-08
18.3,-0.5,-0.866025,5.96046e-08
18.4,-0.5,-0.866025,0
18.5,-0.5,-0.866025,2.98023e-08
18.6,-0.5,-0.866025,2.98023e-08
18.7,-0.5,-0.866025,-1.66533e-16
18.8,-0.5,-0.866025,-2.98023e-08
18.9,-0.500001,-0.866025,1.66533e-16
19,-0.500001,-0.866025,2.98023e-08
19.1,-0.500001,-0.866025,1.66533e-16
19.2,-0.500001,-0.866025,5.96046e-08
19.3,-0.500001,-0.866025,2.98023e-08
19.4,-0.500001,-0.866025,2.98023e-08
19.5,-0.500001,-0.866025,0
19.6,-0.500002,-0.866024,0
19.7,-0.500002,-0.866024,0
19.8,-0.500002,-0.866024,0
19.9,-0.500002,-0.866024,0
20,-0.500002,-0.866024,0
20.1,-0.500003,-0.866024,2.98023e-08
20.2,-0.500003,-0.866024,-2.98023e-08
20.3,-0.500003,-0.866024,0
20.4,-0.500003,-0.866023,2.98023e-08
20.5,-0.500004,-0.866023,-2.98023e-08
20.6,-0.500004,-0.866023,-1.11022e-16
20.7,-0.500004,-0.866023,2.98023e-08
20.8,-0.500005,-0.866023,-1.66533e-16
20.9,-0.500005,-0.866022,5.96046e-08
21,-0.500005,-0.866022,2.98023e-08
21.1,-0.500006,-0.866022,0
21.2,-0.500006,-0.866022,0
21.3,-0.500006,-0.866022,-1.11022e-16
21.4,-0.500007,-0.866021,0
21.5,-0.500007,-0.866021,1.66533e-16
21.6,-0.500008,-0.866021,0
21.7,-0.500008,-0.866021,1.11022e-16
21.8,-0.500009,-0.86602,0
21.9,-0.500009,-0.86602,0
22,-0.500009,-0.86602,2.98023e-08
22.1,-0.50001,-0.86602,-2.98023e-08
22.2,-0.50001,-0.866019,1.66533e-16
